employee_id,name,email,age,gender,hire_date,tenure_years,salary,satisfaction,department
1,Employee 1,emp1@example.com,59,F,2014-08-16,1.49,204226,0.365,HR
2,Employee 2,emp2@example.com,49,F,2016-02-17,9.47,616007,0.823,Support
3,Employee 3,emp3@example.com,35,M,2018-08-12,0.98,942923,0.054,Finance
4,Employee 4,emp4@example.com,28,F,2023-06-11,0.2,551041,0.604,Sales
5,Employee 5,emp5@example.com,41,M,2020-01-12,4.44,912864,0.574,Sales
6,Employee 6,emp6@example.com,59,M,2023-03-11,5.42,765361,0.482,Engineering
7,Employee 7,emp7@example.com,39,F,2023-08-11,2.03,559609,0.878,Engineering
8,Employee 8,emp8@example.com,43,M,2023-05-22,0.23,1024661,0.805,Finance
9,Employee 9,emp9@example.com,31,F,2023-10-13,3.19,668429,0.401,Finance
10,Employee 10,emp10@example.com,31,M,2023-06-08,0.6,201628,0.627,Support
11,Employee 11,emp11@example.com,44,F,2020-11-07,5.68,1247491,0.235,Support
12,Employee 12,emp12@example.com,56,F,2018-12-02,0.96,801699,0.228,Engineering
13,Employee 13,emp13@example.com,44,Other,2018-06-12,5.65,485124,0.57,Sales
14,Employee 14,emp14@example.com,23,F,2016-08-24,1.67,1414411,0.206,Support
15,Employee 15,emp15@example.com,42,F,2022-01-07,2.72,603517,0.973,HR
16,Employee 16,emp16@example.com,22,F,2019-11-22,4.68,921491,0.461,Finance
17,Employee 17,emp17@example.com,44,M,2021-05-04,0.12,676075,0.846,Engineering
18,Employee 18,emp18@example.com,50,M,2020-09-29,5.16,967042,0.472,HR
19,Employee 19,emp19@example.com,58,F,2023-12-24,0.45,825608,0.339,Engineering
20,Employee 20,emp20@example.com,22,Other,2022-08-28,1.33,209589,0.252,Product
21,Employee 21,emp21@example.com,41,F,2019-09-17,1.92,956533,0.448,Sales
22,Employee 22,emp22@example.com,53,F,2016-09-01,6.77,1097683,0.757,HR
23,Employee 23,emp23@example.com,32,F,2021-02-05,0.07,831944,0.874,Engineering
24,Employee 24,emp24@example.com,42,M,2017-04-03,2.46,1254957,0.295,HR
25,Employee 25,emp25@example.com,45,M,2016-10-25,3.09,290907,0.733,Support
26,Employee 26,emp26@example.com,47,M,2020-04-22,1.14,445567,0.885,Product
27,Employee 27,emp27@example.com,48,M,2015-03-10,1.03,1043047,0.687,Product
28,Employee 28,emp28@example.com,36,F,2017-05-21,2.02,1317029,0.397,Sales
29,Employee 29,emp29@example.com,35,Other,2020-06-02,0.62,1275691,0.643,Engineering
30,Employee 30,emp30@example.com,23,F,2021-07-05,1.89,532045,0.763,Engineering
31,Employee 31,emp31@example.com,57,M,2017-04-07,4.34,313506,0.642,Support
32,Employee 32,emp32@example.com,27,M,2016-12-31,5.6,1245827,0.541,Support
33,Employee 33,emp33@example.com,41,M,2018-09-20,1.46,547182,0.194,Engineering
34,Employee 34,emp34@example.com,29,F,2023-03-12,2.88,1140637,0.606,Finance
35,Employee 35,emp35@example.com,59,M,2020-03-25,0.0,505845,0.475,Sales
36,Employee 36,emp36@example.com,38,M,2017-06-21,2.4,667897,0.822,Product
37,Employee 37,emp37@example.com,24,M,2023-05-30,11.1,1340413,0.586,Sales
38,Employee 38,emp38@example.com,45,M,2022-11-07,1.12,1372966,0.324,Finance
39,Employee 39,emp39@example.com,34,F,2015-11-25,2.71,1160050,0.903,Engineering
40,Employee 40,emp40@example.com,29,M,2023-01-15,4.31,1332237,0.347,Product
41,Employee 41,emp41@example.com,46,M,2020-10-06,2.82,751756,0.455,Engineering
42,Employee 42,emp42@example.com,22,M,2015-12-15,1.63,586998,0.577,Finance
