employee_id,name,email,age,gender,hire_date,tenure_years,salary,satisfaction,last_review_score,attrition,skills,education,department,role,promotions,resume_file,skills_list,num_skills,salary_clipped,tenure_months,recent_review_scaled,low_satisfaction_flag,department_clean
6253,Thomas Hubbard,thomashubbard6253@example.com,29,Other,2023-07-17,2.38,589195,0.337,3.46,0,pandas|management|aws|hadoop|spark|scikit-learn|sql,MSc,Support,Senior Engineer,1,resumes/resume_6253.txt,"['pandas', 'management', 'aws', 'hadoop', 'spark', 'scikit-learn', 'sql']",7,589195.0,28.6,0.615,1,Support
4685,Diana Cook,dianacook4685@example.com,20,M,2022-04-14,3.64,687522,0.508,3.02,0,tableau|python|management|excel|nlp|tensorflow|powerbi|leadership,MSc,Product,Senior Engineer,1,resumes/resume_4685.txt,"['tableau', 'python', 'management', 'excel', 'nlp', 'tensorflow', 'powerbi', 'leadership']",8,687522.0,43.7,0.505,0,Product
1732,Andrea Ibarra,andreaibarra1732@example.com,31,Other,2021-05-22,4.54,365818,0.779,2.45,0,management|aws|excel|docker|scikit-learn|leadership|powerbi|javascript,M.Tech,Engineering,Engineer,2,resumes/resume_1732.txt,"['management', 'aws', 'excel', 'docker', 'scikit-learn', 'leadership', 'powerbi', 'javascript']",8,365818.0,54.5,0.36250000000000004,0,Engineering
4743,Jeffery Maxwell,jefferymaxwell4743@example.com,29,M,2024-01-25,1.86,998794,0.806,2.29,0,management|spark|leadership|sql|docker|tableau|numpy,B.E,Support,Intern,1,resumes/resume_4743.txt,"['management', 'spark', 'leadership', 'sql', 'docker', 'tableau', 'numpy']",7,998794.0,22.3,0.3225,0,Support
4522,Randall Hoffman,randallhoffman4522@example.com,28,Other,2022-09-25,3.19,328890,0.466,1.82,1,react|scikit-learn|nlp,B.Tech,Support,Intern,0,resumes/resume_4522.txt,"['react', 'scikit-learn', 'nlp']",3,328890.0,38.3,0.20500000000000002,0,Support
6341,Stephanie Hughes,stephaniehughes6341@example.com,34,Other,2018-06-13,7.48,305692,0.694,2.89,0,excel|numpy|javascript|pandas|spark|react,B.E,Finance,Engineer,2,resumes/resume_6341.txt,"['excel', 'numpy', 'javascript', 'pandas', 'spark', 'react']",6,305692.0,89.8,0.47250000000000003,0,Finance
577,Matthew Brown,matthewbrown577@example.com,39,Other,2025-05-12,0.56,952454,0.971,4.44,0,numpy|tensorflow|kubernetes|tableau|pytorch|excel|hadoop|docker,MBA,Sales,Analyst,1,resumes/resume_577.txt,"['numpy', 'tensorflow', 'kubernetes', 'tableau', 'pytorch', 'excel', 'hadoop', 'docker']",8,952454.0,6.7,0.8600000000000001,0,Sales
5203,Suzanne Bond,suzannebond5203@example.com,30,M,2023-12-20,1.96,512494,0.788,1.59,0,leadership|scikit-learn|tensorflow|spark|javascript|management|numpy,B.Tech,Sales,Intern,1,resumes/resume_5203.txt,"['leadership', 'scikit-learn', 'tensorflow', 'spark', 'javascript', 'management', 'numpy']",7,512494.0,23.5,0.14750000000000002,0,Sales
6364,Steven May,stevenmay6364@example.com,30,Other,2023-10-28,2.1,801969,0.287,2.29,0,docker|management|hadoop|kubernetes|python|scikit-learn|spark|leadership,MBA,Hr,Senior Engineer,1,resumes/resume_6364.txt,"['docker', 'management', 'hadoop', 'kubernetes', 'python', 'scikit-learn', 'spark', 'leadership']",8,801969.0,25.2,0.3225,1,Hr
440,Darren Morris,darrenmorris440@example.com,45,M,2023-03-19,2.71,567282,0.171,2.25,0,javascript|sql|numpy|python|react|spark|leadership,MBA,Engineering,Engineer,1,resumes/resume_440.txt,"['javascript', 'sql', 'numpy', 'python', 'react', 'spark', 'leadership']",7,567282.0,32.5,0.3125,1,Engineering
