employee_id,name,email,age,gender,hire_date,tenure_years,salary,satisfaction,department,attrition_probability
1,Employee 1,emp1@example.com,59,F,2014-08-16,1.49,204226,0.365,HR,0.053351833561401885
2,Employee 2,emp2@example.com,49,F,2016-02-17,9.47,616007,0.823,Support,0.25643240947103363
3,Employee 3,emp3@example.com,35,M,2018-08-12,0.98,942923,0.054,Finance,0.182782638521979
4,Employee 4,emp4@example.com,28,F,2023-06-11,0.2,551041,0.604,Sales,0.24177884379062664
5,Employee 5,emp5@example.com,41,M,2020-01-12,4.44,912864,0.574,Sales,0.2110004049179461
6,Employee 6,emp6@example.com,59,M,2023-03-11,5.42,765361,0.482,Engineering,0.23737948799076772
7,Employee 7,emp7@example.com,39,F,2023-08-11,2.03,559609,0.878,Engineering,0.28350713369897007
8,Employee 8,emp8@example.com,43,M,2023-05-22,0.23,1024661,0.805,Finance,0.08483053311659844
9,Employee 9,emp9@example.com,31,F,2023-10-13,3.19,668429,0.401,Finance,0.19302489251507204
10,Employee 10,emp10@example.com,31,M,2023-06-08,0.6,201628,0.627,Support,0.21760573975873143
11,Employee 11,emp11@example.com,44,F,2020-11-07,5.68,1247491,0.235,Support,0.24184545919028566
12,Employee 12,emp12@example.com,56,F,2018-12-02,0.96,801699,0.228,Engineering,0.13631154155930614
13,Employee 13,emp13@example.com,44,Other,2018-06-12,5.65,485124,0.57,Sales,0.07015113597242716
14,Employee 14,emp14@example.com,23,F,2016-08-24,1.67,1414411,0.206,Support,0.048692809541514094
15,Employee 15,emp15@example.com,42,F,2022-01-07,2.72,603517,0.973,HR,0.09350188965877901
16,Employee 16,emp16@example.com,22,F,2019-11-22,4.68,921491,0.461,Finance,0.12584683403172692
17,Employee 17,emp17@example.com,44,M,2021-05-04,0.12,676075,0.846,Engineering,0.20005686178917598
18,Employee 18,emp18@example.com,50,M,2020-09-29,5.16,967042,0.472,HR,0.32538483684847347
19,Employee 19,emp19@example.com,58,F,2023-12-24,0.45,825608,0.339,Engineering,0.14363969521935152
20,Employee 20,emp20@example.com,22,Other,2022-08-28,1.33,209589,0.252,Product,0.1316224551139036
21,Employee 21,emp21@example.com,41,F,2019-09-17,1.92,956533,0.448,Sales,0.072872592620433
22,Employee 22,emp22@example.com,53,F,2016-09-01,6.77,1097683,0.757,HR,0.28497334033064853
23,Employee 23,emp23@example.com,32,F,2021-02-05,0.07,831944,0.874,Engineering,0.34225003761511075
24,Employee 24,emp24@example.com,42,M,2017-04-03,2.46,1254957,0.295,HR,0.08960795714045586
25,Employee 25,emp25@example.com,45,M,2016-10-25,3.09,290907,0.733,Support,0.44226683643117476
26,Employee 26,emp26@example.com,47,M,2020-04-22,1.14,445567,0.885,Product,0.1440792587126951
27,Employee 27,emp27@example.com,48,M,2015-03-10,1.03,1043047,0.687,Product,0.05083807686207995
28,Employee 28,emp28@example.com,36,F,2017-05-21,2.02,1317029,0.397,Sales,0.2129360228591674
29,Employee 29,emp29@example.com,35,Other,2020-06-02,0.62,1275691,0.643,Engineering,0.35144409653073944
30,Employee 30,emp30@example.com,23,F,2021-07-05,1.89,532045,0.763,Engineering,0.1040919639663755
31,Employee 31,emp31@example.com,57,M,2017-04-07,4.34,313506,0.642,Support,0.27297846618092086
32,Employee 32,emp32@example.com,27,M,2016-12-31,5.6,1245827,0.541,Support,0.10529919286261231
33,Employee 33,emp33@example.com,41,M,2018-09-20,1.46,547182,0.194,Engineering,0.1441723348957087
34,Employee 34,emp34@example.com,29,F,2023-03-12,2.88,1140637,0.606,Finance,0.15141093909335646
35,Employee 35,emp35@example.com,59,M,2020-03-25,0.0,505845,0.475,Sales,0.2151004842961931
36,Employee 36,emp36@example.com,38,M,2017-06-21,2.4,667897,0.822,Product,0.04435539796836221
37,Employee 37,emp37@example.com,24,M,2023-05-30,11.1,1340413,0.586,Sales,0.06934649329318596
38,Employee 38,emp38@example.com,45,M,2022-11-07,1.12,1372966,0.324,Finance,0.19072579467155118
39,Employee 39,emp39@example.com,34,F,2015-11-25,2.71,1160050,0.903,Engineering,0.09900231009300893
40,Employee 40,emp40@example.com,29,M,2023-01-15,4.31,1332237,0.347,Product,0.2614897628759544
41,Employee 41,emp41@example.com,46,M,2020-10-06,2.82,751756,0.455,Engineering,0.5890138311035858
42,Employee 42,emp42@example.com,22,M,2015-12-15,1.63,586998,0.577,Finance,0.5364179917395083
43,Employee 43,emp43@example.com,40,M,2019-08-19,0.5,717488,0.415,Finance,0.15880838427465574
44,Employee 44,emp44@example.com,48,F,2014-10-26,1.87,966896,0.576,Engineering,0.40055261203308
45,Employee 45,emp45@example.com,27,F,2017-02-03,1.05,796887,0.736,Engineering,0.26314075057963304
46,Employee 46,emp46@example.com,28,M,2022-11-01,3.57,1385651,0.528,HR,0.03654830129689171
47,Employee 47,emp47@example.com,55,F,2023-03-04,1.75,479317,0.783,Product,0.31718991143262976
48,Employee 48,emp48@example.com,34,M,2022-07-09,5.69,1386106,0.409,Product,0.049002339414958795
49,Employee 49,emp49@example.com,37,F,2016-10-24,0.64,845398,0.666,Sales,0.39635259963982583
50,Employee 50,emp50@example.com,56,M,2017-09-11,1.62,253621,0.496,Support,0.40251125115459824
51,Employee 51,emp51@example.com,24,M,2021-01-03,2.45,705787,0.266,Sales,0.3094955568985533
52,Employee 52,emp52@example.com,22,F,2019-07-07,0.4,830247,0.569,Support,0.36143149566267546
53,Employee 53,emp53@example.com,26,F,2022-12-07,2.66,857469,0.06,Finance,0.13889643377581165
54,Employee 54,emp54@example.com,24,F,2018-09-22,1.03,321710,0.599,Support,0.1116392432001889
55,Employee 55,emp55@example.com,49,M,2022-04-04,0.78,411820,0.49,Product,0.07697525997824704
56,Employee 56,emp56@example.com,38,M,2022-10-11,0.46,1277721,0.602,Finance,0.1495837439604903
57,Employee 57,emp57@example.com,46,Other,2023-10-10,1.29,532765,0.261,Engineering,0.2054174628578538
58,Employee 58,emp58@example.com,54,M,2020-06-03,7.93,1141324,0.422,Product,0.28731915968594185
59,Employee 59,emp59@example.com,30,M,2023-02-24,0.09,1328771,0.489,Finance,0.10358593757230372
60,Employee 60,emp60@example.com,56,M,2020-04-22,5.73,1413034,0.272,HR,0.2621850040272941
61,Employee 61,emp61@example.com,34,M,2017-09-18,1.52,483418,0.19,Support,0.03947236428131562
62,Employee 62,emp62@example.com,51,M,2022-01-03,2.47,398311,0.665,Support,0.08465059841267226
63,Employee 63,emp63@example.com,35,F,2016-09-07,2.16,852891,0.196,HR,0.2241960327092939
64,Employee 64,emp64@example.com,28,M,2021-09-07,7.8,1409428,0.419,Product,0.3910848214996798
65,Employee 65,emp65@example.com,34,F,2021-06-21,4.41,1431219,0.678,Product,0.14139477879491308
66,Employee 66,emp66@example.com,43,M,2016-02-28,12.56,1048970,0.194,Sales,0.13109672963737443
67,Employee 67,emp67@example.com,41,M,2021-08-03,4.75,1114003,0.059,Support,0.050968319322943545
68,Employee 68,emp68@example.com,36,F,2022-02-26,1.05,572468,0.951,Product,0.12592112543948336
69,Employee 69,emp69@example.com,38,F,2018-07-20,9.88,788370,0.463,Sales,0.16219586153778826
70,Employee 70,emp70@example.com,44,F,2021-01-09,12.33,692937,0.356,Support,0.4806005222166356
71,Employee 71,emp71@example.com,46,F,2020-10-26,0.39,1418574,0.804,HR,0.42363522484385424
72,Employee 72,emp72@example.com,45,M,2020-12-07,6.94,890988,0.884,HR,0.06698372449294877
73,Employee 73,emp73@example.com,49,F,2022-10-09,3.27,230900,0.973,HR,0.054260282976589726
74,Employee 74,emp74@example.com,35,F,2020-08-09,7.65,1447569,0.685,Engineering,0.06674836171726732
75,Employee 75,emp75@example.com,21,M,2019-02-24,7.42,1241670,0.485,Product,0.5538227845982889
76,Employee 76,emp76@example.com,45,F,2022-05-03,6.66,936285,0.488,HR,0.36659008515789065
77,Employee 77,emp77@example.com,27,F,2018-07-17,6.5,489141,0.438,Sales,0.036642155356005075
78,Employee 78,emp78@example.com,29,M,2014-02-09,0.38,1015920,0.164,Sales,0.25326945424733116
79,Employee 79,emp79@example.com,44,M,2015-12-10,0.46,1096184,0.681,Finance,0.1942585190307552
80,Employee 80,emp80@example.com,21,M,2016-05-31,0.38,222975,0.667,Finance,0.12998043230003167
81,Employee 81,emp81@example.com,28,F,2018-02-28,0.29,1451759,0.035,Engineering,0.16323624381757634
82,Employee 82,emp82@example.com,44,M,2018-02-18,1.31,264254,0.693,Sales,0.3681434873143536
83,Employee 83,emp83@example.com,31,M,2020-06-13,3.46,1223144,0.781,Support,0.06154922306384866
84,Employee 84,emp84@example.com,37,M,2019-05-12,1.31,303197,0.555,Finance,0.037870940803055995
85,Employee 85,emp85@example.com,28,F,2015-09-11,3.82,225809,0.742,Product,0.07092314317700477
86,Employee 86,emp86@example.com,55,F,2014-07-24,5.15,1030427,0.375,Product,0.1381244193304459
87,Employee 87,emp87@example.com,55,F,2017-02-11,3.29,1447780,0.472,Product,0.4977747952236103
88,Employee 88,emp88@example.com,53,M,2018-05-22,1.88,782100,0.924,Product,0.0983774345162271
89,Employee 89,emp89@example.com,25,F,2022-03-04,1.05,259760,0.49,Finance,0.005919311284108402
90,Employee 90,emp90@example.com,59,F,2022-04-19,0.4,422037,0.689,Engineering,0.2798476831108152
91,Employee 91,emp91@example.com,48,F,2020-05-02,2.04,566563,0.448,Finance,0.17708915927228866
92,Employee 92,emp92@example.com,27,M,2020-03-13,3.81,741795,0.043,Product,0.22811871669106218
93,Employee 93,emp93@example.com,29,M,2017-04-10,2.38,234388,0.458,HR,0.4154862798359297
94,Employee 94,emp94@example.com,28,F,2023-01-24,3.83,285894,0.517,Support,0.06361798387133803
95,Employee 95,emp95@example.com,32,M,2019-11-04,1.22,519239,0.684,Support,0.10760778569575456
96,Employee 96,emp96@example.com,54,F,2015-08-24,0.21,1100287,0.454,Product,0.4341097964435854
97,Employee 97,emp97@example.com,53,F,2015-12-03,4.42,459553,0.96,Engineering,0.059087863548824913
98,Employee 98,emp98@example.com,43,F,2015-07-03,0.74,454044,0.62,Sales,0.25296074103614996
99,Employee 99,emp99@example.com,44,F,2021-09-26,2.87,1389496,0.434,Sales,0.18695770256271954
100,Employee 100,emp100@example.com,57,F,2021-01-27,4.89,1448294,0.401,Product,0.003711412712944632
101,Employee 101,emp101@example.com,55,M,2017-12-12,0.45,1089377,0.417,Engineering,0.2231312273374781
102,Employee 102,emp102@example.com,42,M,2020-05-14,2.74,416421,0.801,Finance,0.1482261790408532
103,Employee 103,emp103@example.com,47,M,2023-08-23,3.51,655433,0.074,Engineering,0.2577809368033003
104,Employee 104,emp104@example.com,55,F,2014-11-24,4.12,731464,0.042,Support,0.10159599725971177
105,Employee 105,emp105@example.com,21,M,2019-06-17,0.48,1294239,0.52,Product,0.2506226221175092
106,Employee 106,emp106@example.com,55,M,2020-05-15,5.23,993220,0.244,Finance,0.28901918209796873
107,Employee 107,emp107@example.com,57,F,2021-04-08,0.3,393186,0.46,Sales,0.15346208395904432
108,Employee 108,emp108@example.com,34,F,2015-01-23,2.2,467519,0.262,Product,0.17911957158411915
109,Employee 109,emp109@example.com,23,Other,2015-05-22,1.76,1412051,0.561,Sales,0.1845913179950153
110,Employee 110,emp110@example.com,21,F,2017-11-29,0.75,1495616,0.532,Product,0.17681895253396246
111,Employee 111,emp111@example.com,25,F,2018-09-10,1.08,1498649,0.144,Finance,0.18445531021087233
112,Employee 112,emp112@example.com,46,F,2022-01-24,0.54,318781,0.603,Engineering,0.3487698240691628
113,Employee 113,emp113@example.com,34,Other,2019-12-08,1.66,1380988,0.681,Support,0.1604094398390025
114,Employee 114,emp114@example.com,59,F,2015-12-01,0.11,716686,0.407,Support,0.3908657945835467
115,Employee 115,emp115@example.com,47,F,2017-02-06,6.59,372710,0.554,Sales,0.03940401337494683
116,Employee 116,emp116@example.com,29,F,2014-09-02,0.54,962471,0.621,Finance,0.3433446217241369
117,Employee 117,emp117@example.com,35,F,2021-01-05,6.52,535663,0.595,Sales,0.14195294285498636
118,Employee 118,emp118@example.com,35,M,2015-07-08,5.98,1217815,0.065,HR,0.32074440972904794
119,Employee 119,emp119@example.com,46,M,2022-06-03,1.8,641627,0.86,Finance,0.2866846697713828
120,Employee 120,emp120@example.com,33,M,2022-07-06,2.07,1359894,0.705,Finance,0.03935372254418156
121,Employee 121,emp121@example.com,52,M,2018-04-23,1.08,1236362,0.721,Engineering,0.26340250630439527
122,Employee 122,emp122@example.com,59,M,2020-03-23,17.3,1322639,0.075,Engineering,0.126400392453354
123,Employee 123,emp123@example.com,52,M,2020-01-31,3.33,553059,0.62,Product,0.09730974395704953
124,Employee 124,emp124@example.com,24,M,2018-01-10,9.1,798378,0.652,Engineering,0.10441218945458466
125,Employee 125,emp125@example.com,50,F,2018-09-17,1.61,246185,0.489,Support,0.211433227253262
126,Employee 126,emp126@example.com,57,F,2014-07-22,6.44,268105,0.229,Product,0.05885786100083774
127,Employee 127,emp127@example.com,43,M,2015-10-25,1.78,640836,0.917,Support,0.17390805351103694
128,Employee 128,emp128@example.com,59,F,2016-01-03,6.05,1234267,0.179,Engineering,0.28726126662038054
129,Employee 129,emp129@example.com,35,F,2019-02-02,0.42,473722,0.82,Engineering,0.2508680858086884
130,Employee 130,emp130@example.com,49,F,2020-08-04,3.04,224381,0.226,Support,0.11126425843859182
131,Employee 131,emp131@example.com,56,F,2023-12-15,3.41,630442,0.688,Product,0.12171175805664179
132,Employee 132,emp132@example.com,33,M,2019-09-19,3.2,590874,0.293,HR,0.22414911481072927
133,Employee 133,emp133@example.com,52,M,2022-02-10,1.78,1410858,0.656,Finance,0.3816762927622735
134,Employee 134,emp134@example.com,27,M,2015-12-12,3.46,314831,0.591,Support,0.13013920576214041
135,Employee 135,emp135@example.com,42,M,2020-05-05,0.82,473985,0.479,Product,0.26548253251784104
